"Population by age, sex and year"

"age" "sex" "1860" "1861" "1862" "1863" "1864" "1865" "1866" "1867" "1868" "1869" "1870" "1871" "1872" "1873" "1874" "1875" "1876" "1877" "1878" "1879" "1880" "1881" "1882" "1883" "1884" "1885" "1886" "1887" "1888" "1889" "1890" "1891" "1892" "1893" "1894" "1895" "1896" "1897" "1898" "1899" "1900" "1901" "1902" "1903" "1904" "1905" "1906" "1907" "1908" "1909" "1910" "1911" "1912" "1913" "1914" "1915" "1916" "1917" "1918" "1919" "1920" "1921" "1922" "1923" "1924" "1925" "1926" "1927" "1928" "1929" "1930" "1931" "1932" "1933" "1934" "1935" "1936" "1937" "1938" "1939" "1940" "1941" "1942" "1943" "1944" "1945" "1946" "1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015" "2016" "2017" "2018" "2019" "2020"
"12 years" "women" 37123 40172 38690 38234 36444 38946 42702 39800 39960 41507 45923 46526 46644 43894 46191 47519 48330 47734 48141 43860 39108 42660 43236 46174 44524 45663 45303 46752 46760 48753 47363 49648 48099 47758 48841 49203 51535 51415 52555 53401 52439 50905 52077 52717 51253 52349 52574 53618 53424 53179 54386 53339 56057 56146 56839 55612 56008 57076 57214 57576 58418 59266 57217 56892 57215 55882 55394 52897 52662 52685 51383 50524 60409 56791 52127 50612 49230 47906 45983 44160 44490 42262 42935 41677 41287 39103 39211 39752 42082 42577 44741 46488 45546 47646 54355 59647 63044 63211 63216 61428 60572 57900 54800 52571 52640 52767 50785 51930 51846 52323 51360 51175 50382 51245 52608 55191 60309 60140 59883 59191 55735 52581 53716 55470 54940 54135 54448 51604 48909 47721 46704 48460 49164 48174 48055 47675 48758 50878 52692 54201 57149 59100 62781 62145 61093 58713 56659 52318 49159 47085 46500 46598 47861 48649 51450 53410 54752 55943 58337 59155 60157
"13 years" "men" 35063 36806 39974 38636 38493 36755 38862 42676 40126 39762 41611 45732 47063 46866 43768 46336 48402 48334 47825 48786 44568 39097 42906 44195 46940 45451 46317 45713 47293 47344 49639 48175 50176 48703 48935 49746 50460 52634 52531 53517 54765 53563 51721 52731 54151 52598 54363 53971 55336 54806 55447 56173 54827 57250 58055 57888 57328 58532 58264 59338 59778 60423 61752 59853 59130 59159 58155 57208 54632 54676 54587 53280 52749 63609 58710 53793 52730 50780 49696 47455 45755 45768 43772 44042 43193 42683 40822 40974 41907 43291 44327 46145 48054 47535 49439 56869 62157 66596 66811 66450 64322 63154 60749 58246 55570 55739 56028 53585 54736 55841 54858 54444 54441 52663 54113 55400 58681 63139 63360 63355 62559 58312 55634 55938 58349 57732 56631 57264 53975 51726 50755 49163 50959 51976 50896 50913 50586 51812 54188 55876 56697 61039 62678 66380 66113 64765 61708 59407 55769 51849 49897 49896 49421 51540 52106 54687 57211 59056 59680 62344 63019
"13 years" "women" 35000 36993 39997 38522 38072 36275 38729 42523 39504 39554 41731 45683 46301 46402 43667 45972 47434 48128 47473 47882 43620 38724 42221 42908 45920 44238 45387 44967 46410 46479 48517 47017 49267 47761 47576 48614 49002 51319 51222 52299 53174 52170 50630 51814 52457 51000 52108 52383 53432 53247 53087 54170 53153 55841 55973 56660 55498 55875 56775 57061 57409 58250 59144 57099 56759 57064 55835 55286 52772 52572 52673 51238 50466 61102 56744 52125 50557 49171 47878 45964 44166 44469 42250 42932 41706 41320 39165 39466 39932 42100 42535 44550 46503 45514 47635 54378 59679 63100 63240 63203 61444 60603 57935 54819 52654 52768 52846 50828 51995 52064 52584 51402 51150 50344 51275 52701 55273 60403 60164 59907 59201 55716 52572 53735 55502 55005 54208 54573 51743 49111 47960 46907 48619 49480 48624 48131 47701 48858 51013 52820 54411 57415 59300 63004 62288 61254 59086 56951 52682 49578 47367 46818 46960 48492 49199 52088 54149 55436 56602 58855 59461
"14 years" "men" 34449 34931 36632 39803 38469 38302 36520 38680 42362 39727 39647 41380 45523 46830 46641 43544 46305 48228 48122 47604 48472 44187 38706 42580 43934 46695 45182 45941 45398 46999 47620 49274 47806 49827 48449 48731 49526 50268 52453 52341 53656 54513 53311 51470 52481 53912 52375 54172 53769 55145 54729 55275 56029 54656 57119 57913 57784 57170 58280 58121 59189 59606 60345 61598 59770 58958 59068 58087 57121 54558 54649 54547 53197 52793 63540 58688 53737 52656 50746 49666 47497 45733 45745 43747 44080 43234 42704 40977 41123 41922 43352 44408 46147 48031 47522 49464 56878 62199 66630 66807 66179 64325 63177 60770 58332 55670 55819 56052 53674 54976 56093 54867 54408 54405 52695 54198 55481 58772 63142 63376 63373 62553 58281 55621 56004 58407 57839 56820 57421 54292 51913 50912 49374 51224 52492 50971 50977 50708 51960 54329 56080 56953 61290 62910 66551 66293 65166 62045 59919 56215 52223 50306 50408 50159 52295 52930 55766 58168 59838 60263 62639
"14 years" "women" 34058 34889 36812 39837 38341 37896 36081 38553 42217 39104 39706 41492 45458 46038 46163 43435 45899 47233 47870 47234 47551 43253 38315 41917 42631 45618 43933 45038 44559 46096 46309 48128 46609 48864 47550 47296 48346 48751 51067 50922 52159 52887 51824 50258 51495 52144 50743 51865 52194 53217 53128 52864 53966 52969 55647 55761 56504 55308 55566 56598 56896 57215 58093 58987 56945 56602 56984 55727 55182 52671 52519 52518 51164 50555 61000 56755 52070 50496 49122 47881 45890 44147 44457 42257 42963 41769 41417 39339 39655 39952 42159 42591 44560 46488 45495 47678 54371 59733 63121 63248 63032 61471 60621 57951 54885 52735 52850 52873 50906 52191 52250 52639 51361 51116 50380 51335 52762 55384 60408 60188 59959 59181 55674 52558 53795 55530 55093 54353 54725 51972 49266 48090 47053 48875 49906 48718 48155 47789 48980 51148 52959 54639 57632 59498 63183 62454 61607 59441 57340 53114 49864 47621 47201 47590 49078 49783 52856 54893 56096 57101 59084
"15 years" "men" 35990 34307 34762 36464 39648 38257 38053 36329 38374 41932 39865 39437 41152 45292 46585 46404 43484 46156 48018 47891 47414 48015 43752 38368 42326 43639 46373 44705 45480 44983 46932 47143 48790 47324 49563 48176 48479 49287 50037 52147 52316 53288 54086 52875 51089 52154 53514 52041 53914 53506 55008 54477 55076 55760 54470 56958 57752 57637 56885 58128 57784 58994 59443 60120 61473 59574 58859 58994 58007 57035 54476 54492 54457 53142 52740 63442 58575 53673 52591 50729 49665 47461 45706 45716 43787 44162 43305 42780 41083 41115 42041 43279 44428 46133 48049 47552 49495 56951 62234 66636 66931 66241 64362 63192 60846 58469 55777 55844 56078 53897 55304 56147 54826 54344 54448 52729 54256 55558 58792 63175 63396 63372 62578 58296 55680 56092 58533 58027 57008 57701 54503 52113 51081 49618 51697 52591 51015 51156 50854 52138 54532 56322 57198 61546 63125 66740 66672 65580 62549 60461 56659 52783 51005 51294 51042 53287 54366 57017 58915 60386 60568
"15 years" "women" 36137 33937 34706 36649 39652 38146 37683 35899 38250 41788 39176 39478 41238 45185 45778 45890 43316 45696 46972 47597 46911 47107 42791 37981 41578 42292 45214 43463 44469 44065 45650 45690 47494 46042 48518 47107 46935 47962 48425 50614 50551 51650 52275 51255 49769 50943 51728 50286 51535 51849 52992 52811 52539 53675 52723 55424 55521 56275 54947 55366 56333 56672 57063 57888 58829 56751 56488 56849 55598 55085 52598 52423 52482 51158 50508 60935 56651 51998 50429 49112 47890 45876 44111 44460 42279 43000 41870 41461 39517 39697 40041 42183 42625 44574 46546 45557 47721 54453 59797 63126 63461 63146 61559 60717 58078 55069 52884 52966 53003 51228 52518 52388 52633 51357 51158 50459 51427 52828 55396 60427 60200 59960 59196 55691 52611 53820 55583 55203 54502 54947 52132 49452 48227 47296 49293 50001 48782 48262 47946 49082 51326 53160 54877 57835 59673 63365 62779 61920 59830 57765 53413 50230 47980 47892 48184 49781 50526 53557 55462 56558 57350
"16 years" "men" 37598 35844 34132 34589 36282 39431 38010 37835 35984 37871 41499 39617 39163 40888 45033 46324 46274 43322 45931 47730 47355 46833 47409 43309 38080 41981 43227 45587 43984 44910 44727 46254 46406 48072 47003 49201 47855 48204 49012 49696 51953 51814 52544 53322 52287 50537 51578 52938 51677 53468 53189 54601 54121 54674 55479 54239 56735 57528 57240 56659 57683 57524 58757 59116 59907 61220 59430 58697 58834 57866 56758 54348 54366 54394 53078 52591 63295 58486 53591 52537 50638 49611 47427 45685 45731 43821 44212 43380 42854 41068 41222 41961 43336 44435 46176 48125 47592 49616 56982 62249 66606 66990 66281 64429 63322 61023 58613 55869 55966 56403 54216 55386 56111 54786 54367 54539 52802 54349 55628 58821 63196 63412 63376 62572 58350 55727 56158 58652 58191 57329 57927 54693 52311 51338 50064 51802 52644 51121 51302 50992 52392 54784 56598 57461 61740 63290 67172 67281 66175 63344 61106 57550 53772 52075 52562 52338 55217 56202 57928 59498 60769
"16 years" "women" 37414 35990 33761 34544 36470 39439 37915 37463 35551 37786 41380 38915 39195 40971 44887 45463 45711 43103 45404 46630 46932 46337 46491 42329 37566 41159 41778 44521 42704 43749 43513 44830 44848 46654 45587 47865 46534 46386 47458 47861 50003 49881 50678 51425 50551 49045 50232 51055 49823 50996 51342 52470 52291 52087 53289 52396 55134 55243 55792 54662 55035 56044 56431 56761 57648 58557 56576 56302 56642 55434 54864 52395 52355 52425 51093 50407 60805 56569 51934 50406 49085 47858 45837 44111 44484 42374 43157 41916 41623 39585 39871 40117 42253 42674 44676 46690 45659 47909 54557 59861 63299 63612 63315 61704 60947 58379 55329 53074 53182 53504 51769 52725 52451 52684 51497 51314 50633 51619 52931 55481 60538 60252 60004 59200 55719 52650 53918 55702 55344 54730 55127 52292 49577 48505 47684 49386 50076 48885 48405 48083 49271 51573 53400 55095 58064 59862 63745 63142 62322 60344 58130 53825 50709 48753 48627 48995 50694 51353 54240 56025 56839
"17 years" "men" 35188 37434 35659 33940 34382 36070 39155 37732 37415 35370 37370 41155 39283 38845 40603 44728 46159 46043 43059 45609 46897 46610 46032 46787 42878 37637 41372 41905 44344 43129 44271 43633 45113 45366 47649 46471 48654 47492 47820 48525 49335 51165 50562 51287 52416 51297 49589 50611 52437 50860 52839 52488 53944 53432 54195 55096 53732 56441 57038 56930 56041 57326 57148 58104 58817 59537 60892 59102 58369 58586 57601 56755 54204 54385 54309 52946 52458 63161 58369 53534 52592 50593 49593 47408 45696 45819 43887 44272 43450 42847 41189 41246 42029 43347 44523 46303 48237 47786 49695 57027 62260 66702 67074 66410 64627 63652 61277 58755 56010 56509 56915 54280 55365 56105 54887 54474 54644 52949 54442 55704 58897 63237 63409 63394 62613 58405 55777 56261 58854 58462 57517 58134 54955 52614 51812 50164 51878 52762 51310 51514 51201 52659 55088 56887 57660 61943 63729 67882 67953 66904 64082 62016 58464 54930 53392 54090 54633 57284 57108 58491 59801
"17 years" "women" 34864 37259 35805 33597 34367 36262 39199 37654 37036 35016 37364 41049 38579 38906 40657 44530 45235 45464 42772 45008 45945 46195 45526 45864 41805 37050 40522 40857 43463 41831 42841 42498 43716 43780 46096 44852 47096 45887 45862 46772 47041 49136 48795 49652 50591 49619 48233 49404 50489 49174 50332 50699 51863 51596 51588 52895 51970 54814 54673 55437 54217 54704 55730 56016 56497 57288 58275 56309 56010 56381 55200 54719 52278 52192 52334 50983 50296 60730 56482 51895 50355 49061 47798 45846 44154 44513 42497 43212 42140 41830 40005 40138 40272 42365 42905 44970 46970 45946 48106 54707 60187 63515 63803 63557 62052 61461 58774 55671 53472 53967 54261 52053 52896 52549 52883 51724 51564 50911 51832 53128 55648 60614 60314 60080 59275 55802 52758 54034 55855 55616 54908 55324 52491 49841 48906 47832 49459 50188 49020 48576 48259 49493 51824 53622 55310 58263 60236 64114 63608 62833 60745 58532 54332 51433 49442 49443 49977 51508 51997 54729 56278
"18 years" "men" 35072 35004 37237 35453 33688 34139 35763 38822 37197 36644 34667 36929 40733 38906 38511 40240 44519 45897 45700 42636 44414 45900 45512 45181 46132 42254 36804 39404 40148 43109 42069 42731 42033 43586 44904 46973 45708 48140 46931 47135 47853 48240 49093 48577 50135 50862 49706 48085 49829 51033 49853 51757 51610 52758 52671 53503 54172 53328 55750 56613 56067 55549 56760 56042 57636 58205 58944 60336 58527 57913 58116 57493 56569 54116 54272 54113 52776 52324 63001 58298 53368 52486 50547 49557 47376 45738 45848 43986 44369 43488 42932 41283 41331 42048 43445 44775 46491 48567 47947 49865 57235 62517 66865 67255 66821 65282 64096 61551 59102 56970 57487 57078 54391 55446 56318 55133 54781 54908 53133 54682 55950 58992 63311 63447 63484 62713 58550 55961 56563 59258 58775 57711 58462 55311 53081 51942 50280 51995 52906 51417 51730 51464 52949 55386 57117 57850 62364 64281 68411 68513 67450 64628 62590 59303 55983 54569 56389 58077 58716 57736 58896
"18 years" "women" 35570 34710 37069 35623 33407 34165 36006 38902 37152 36384 34657 36992 40643 38219 38565 40269 44287 44936 45094 42327 43902 45066 45235 44767 45200 41186 36309 39451 39597 42442 40555 41608 41346 42597 43227 45245 44072 46403 45272 45142 45788 46097 47908 47665 48712 49551 48703 47391 48804 49716 48424 49627 49982 51136 51070 51261 52411 51568 54171 54313 54843 53837 54347 55217 55737 56095 56942 57919 55892 55705 55951 54979 54587 52190 52097 52181 50850 50245 60637 56437 51802 50305 49004 47811 45862 44232 44718 42724 43552 42445 42413 40345 40438 40607 42699 43390 45367 47390 46220 48343 55062 60461 63756 64100 64036 62725 62151 59232 56207 54532 55058 54541 52264 53037 52831 53164 52044 51922 51204 52196 53485 55804 60777 60396 60193 59421 55999 52985 54316 56286 55955 55143 55567 52837 50353 49101 47981 49666 50491 49267 48865 48549 49804 52170 53928 55558 58707 60769 64637 64254 63385 61214 59099 55043 52155 50346 50542 51083 52341 52590 55084
"19 years" "men" 32801 34870 34784 37015 35155 33404 33775 35389 38131 36257 35723 34153 36404 40249 38509 38108 40003 44219 45502 45126 40977 43092 44425 44440 44346 45300 41044 34066 37206 38623 41309 40106 40724 40073 43104 44042 45955 45038 47517 46106 46238 46379 45564 46718 47242 48330 48750 47888 47184 47792 49532 48469 50480 49977 51269 51642 52024 53614 52658 55236 55570 55489 54517 54887 55334 56754 57253 58035 59383 57795 57482 58117 57290 56335 53970 54024 53949 52610 52196 62884 58213 53273 52398 50517 49551 47329 45825 46019 44130 44381 43547 43064 41330 41278 42135 43728 44949 46847 48713 48037 50175 57579 62696 67097 67767 67680 65882 64364 61924 60185 58075 57441 57103 54452 55731 56707 55522 55114 55167 53531 55026 56092 59100 63408 63641 63648 62993 58758 56330 57138 59628 58981 57902 58753 55836 53222 52032 50452 52011 53036 51581 51924 51653 53137 55563 57260 58240 62724 64643 68789 68877 67791 64959 63191 60076 56738 55970 57482 61135 59961 58011
"19 years" "women" 33424 35401 34527 36874 35394 33180 33890 35695 38331 36422 35898 34271 36567 40204 37842 38159 40027 43969 44519 44608 41152 42933 43987 44401 44030 44406 40351 35152 38187 38607 40892 39327 40348 40173 42039 42403 44339 43372 45760 44516 44132 44874 44916 46722 46787 47747 48603 47814 46783 48066 48922 47672 48958 49225 50602 50661 50812 52028 50934 53767 53754 54417 53457 53851 54956 55298 55692 56614 57493 55552 55288 55844 54849 54358 52070 52013 52037 50763 50161 60610 56351 51781 50264 48991 47850 45948 44511 45071 43141 43993 43029 42954 40729 40850 41101 43302 43889 45815 47762 46460 48836 55378 60723 64066 64601 64813 63510 62696 59951 57507 55822 55410 54667 52446 53390 53309 53689 52570 52421 51745 52794 53836 56022 60939 60626 60455 59770 56386 53393 55004 56824 56357 55484 56033 53503 50709 49326 48138 49770 50587 49423 49133 48835 50161 52517 54249 56078 59335 61280 65326 64758 63807 61717 59713 55773 52885 51298 51275 51671 52935 52980
"20 years" "men" 33764 32562 34613 34521 36654 34797 32991 33314 34555 36972 34839 35053 33502 35794 39777 38034 37841 39647 43798 44711 42468 39346 41275 43116 43449 43285 43253 36667 31569 35636 36410 38625 37220 38116 39414 41745 42591 44981 44139 46326 44596 43971 42689 42756 45245 45331 46290 46753 46715 44771 45911 47513 46595 48136 48782 51068 51349 51772 52710 52326 54700 55329 55195 53673 54553 54746 56140 56522 57309 58762 57346 57468 57948 57116 56205 53784 53834 53774 52458 52105 62771 58119 53170 52356 50557 49562 47487 46073 46252 44185 44462 43701 43189 41269 41286 42356 43946 45204 46914 48747 48137 50530 57717 62966 67520 68438 68067 65990 64497 62736 60820 57728 57225 56989 54697 56022 57043 55881 55364 55544 53843 55118 56153 59177 63642 63911 63918 63258 59177 56983 57477 59773 59217 58263 59163 55964 53290 52152 50482 52080 53199 51788 52139 51846 53308 55710 57733 58644 63152 65092 69153 69202 68172 65509 63988 60980 58246 56782 59115 64376 60299
"20 years" "women" 34301 33242 35203 34341 36612 35130 32900 33554 35086 37515 35809 35479 33856 36103 39793 37405 37897 39707 43521 43996 43130 40154 41818 43147 43646 43164 43486 39069 33997 37222 37333 39615 38066 39155 39671 41227 41600 43627 42789 44998 43490 43267 43781 43898 45958 45833 46912 47742 47246 46143 47390 48241 47028 48234 48712 50165 50244 50420 51383 50518 53231 53378 53973 52892 53554 54478 54862 55331 56156 57153 55145 55150 55697 54660 54246 51939 51880 51935 50744 50110 60441 56327 51738 50280 49089 47860 46314 44915 45507 43521 44583 43673 43411 41046 41353 41677 43807 44396 46096 47836 46884 49232 55548 60996 64469 65245 65464 63999 63274 61389 58811 56130 55453 54811 52868 53854 53868 54283 53085 52943 52273 53055 54020 56184 61212 60883 60756 60123 56864 54131 55639 57122 56731 55948 56659 53778 50962 49475 48387 50113 51050 49862 49553 49426 50575 52925 54885 56716 59884 61986 65878 65190 64395 62395 60532 56630 54032 52151 51958 52239 53271
"21 years" "men" 30477 33502 32282 34324 34141 36252 34367 32489 32455 33349 35098 34066 34332 32862 35275 39246 37722 37504 39199 42943 41710 40796 37562 40035 42190 42526 41573 41773 35621 30922 34556 35345 37355 36055 37849 38790 40987 42015 44448 43543 45537 43741 43412 42279 42211 44680 44689 45547 46045 45865 45144 45585 47241 46294 47984 48288 50638 50889 50941 52338 51702 54248 54867 54239 53236 53927 54161 55493 55828 56713 58293 57329 57241 57590 56928 55885 53519 53590 53543 52291 52044 62585 57974 53084 52312 50550 49740 47695 46285 46345 44333 44821 43979 43274 41414 41864 42870 44540 45508 47085 49156 48841 51151 58206 63892 68860 69309 68580 66717 66601 64981 61355 57849 57378 57432 55212 56650 57618 56374 55936 56077 54046 55202 56271 59504 63985 64306 64302 63836 60127 57420 57731 59969 59584 58684 59273 56046 53328 52187 50558 52292 53427 52029 52409 52116 53562 56425 58335 59088 63694 65572 69571 69633 68717 66497 64998 62753 59099 57501 60503 64978
"21 years" "women" 31501 34142 33028 35018 34096 36340 34843 32551 32935 34238 36471 35352 35014 33381 35698 39334 37121 37597 39299 42974 42567 42065 39047 40982 42399 42861 42217 42114 37705 33088 35763 36264 38423 37014 38652 38972 40506 40949 43072 42095 44081 42687 42136 42733 43183 45148 45083 46138 47261 46602 45660 46744 47641 46396 47775 48309 49723 49847 49790 51030 50152 52860 52995 53427 52597 53053 54074 54480 54925 55771 56735 54986 55034 55372 54561 54166 51830 51775 51885 50739 50137 60405 56272 51797 50368 49211 48417 46813 45372 45951 44062 45158 44162 43670 41298 41847 42117 44165 44605 46199 48145 47136 49469 55677 61319 65018 65766 65804 64448 64565 62564 59072 56094 55529 55171 53232 54371 54572 54817 53595 53404 52550 53169 54148 56411 61495 61221 61102 60539 57567 54691 56008 57528 57249 56498 56905 53995 51173 49690 48684 50511 51471 50367 50022 49895 50992 53656 55506 57330 60734 62648 66300 65817 65043 63057 61405 57679 54920 52827 52627 52682
"22 years" "men" 29114 30222 33217 31993 33957 33753 35785 33873 31625 31359 31760 34330 33379 33719 32357 34786 38934 37406 37061 38441 40001 40136 39143 36540 39288 41558 41553 41273 39927 34829 29794 33394 34073 36155 35787 37350 38108 40508 41498 43796 42708 44509 42503 42532 41899 41783 44145 44166 45255 45588 46591 44654 45177 46729 45826 47440 47850 50213 49998 50544 51653 51274 53595 53110 53541 52415 53186 53416 54725 55138 56181 58304 57148 56928 57456 56579 55666 53307 53414 53415 52131 51958 62461 57896 53029 52261 50796 50098 47992 46371 46551 44740 45188 44037 43482 41992 42464 43532 44791 45622 47446 49801 49202 51644 59015 65055 69749 69579 69106 68582 68390 64999 61286 57810 57777 57932 55913 57222 58049 56979 56465 56262 54097 55325 56603 59896 64446 64722 64953 64901 60707 57736 57969 60361 60112 58808 59349 56091 53403 52339 50866 52569 53944 52501 52854 52637 54503 57323 59128 60203 64671 66177 70276 70380 69807 67834 66921 63967 60048 58489 61190
